YEAR,MONTH,DAY,MOPED
2008,12,7,36
2008,12,14,33
2008,12,21,34
2008,12,28,35
2009,1,4,36
2009,1,11,33
2009,1,18,32
2009,1,25,36
2009,2,1,36
2009,2,8,37
2009,2,15,36
2009,2,22,40
2009,3,1,44
2009,3,8,48
2009,3,15,54
2009,3,22,53
2009,3,29,53
2009,4,5,60
2009,4,12,58
2009,4,19,65
2009,4,26,63
2009,5,3,67
2009,5,10,67
2009,5,17,72
2009,5,24,70
2009,5,31,67
2009,6,7,72
2009,6,14,72
2009,6,21,70
2009,6,28,68
2009,7,5,72
2009,7,12,73
2009,7,19,72
2009,7,26,71
2009,8,2,74
2009,8,9,68
2009,8,16,67
2009,8,23,64
2009,8,30,62
2009,9,6,58
2009,9,13,53
2009,9,20,53
2009,9,27,45
2009,10,4,45
2009,10,11,37
2009,10,18,34
2009,10,25,33
2009,11,1,33
2009,11,8,35
2009,11,15,33
2009,11,22,31
2009,11,29,32
2009,12,6,27
2009,12,13,26
2009,12,20,28
2009,12,27,30
2010,1,3,26
2010,1,10,28
2010,1,17,30
2010,1,24,30
2010,1,31,31
2010,2,7,31
2010,2,14,30
2010,2,21,33
2010,2,28,36
2010,3,7,43
2010,3,14,48
2010,3,21,52
2010,3,28,57
2010,4,4,59
2010,4,11,62
2010,4,18,56
2010,4,25,59
2010,5,2,58
2010,5,9,59
2010,5,16,63
2010,5,23,66
2010,5,30,64
2010,6,6,62
2010,6,13,59
2010,6,20,63
2010,6,27,70
2010,7,4,70
2010,7,11,66
2010,7,18,65
2010,7,25,71
2010,8,1,65
2010,8,8,62
2010,8,15,60
2010,8,22,65
2010,8,29,63
2010,9,5,63
2010,9,12,55
2010,9,19,51
2010,9,26,49
2010,10,3,46
2010,10,10,46
2010,10,17,39
2010,10,24,38
2010,10,31,37
2010,11,7,32
2010,11,14,35
2010,11,21,29
2010,11,28,31
2010,12,5,30
2010,12,12,27
2010,12,19,25
2010,12,26,28
2011,1,2,34
2011,1,9,34
2011,1,16,36
2011,1,23,37
2011,1,30,39
2011,2,6,39
2011,2,13,47
2011,2,20,48
2011,2,27,55
2011,3,6,62
2011,3,13,61
2011,3,20,66
2011,3,27,59
2011,4,3,75
2011,4,10,83
2011,4,17,81
2011,4,24,88
2011,5,1,86
2011,5,8,100
2011,5,15,86
2011,5,22,87
2011,5,29,94
2011,6,5,94
2011,6,12,91
2011,6,19,84
2011,6,26,92
2011,7,3,95
2011,7,10,91
2011,7,17,93
2011,7,24,86
2011,7,31,85
2011,8,7,87
2011,8,14,85
2011,8,21,81
2011,8,28,78
2011,9,4,71
2011,9,11,66
2011,9,18,61
2011,9,25,58
2011,10,2,56
2011,10,9,58
2011,10,16,47
2011,10,23,44
2011,10,30,39
2011,11,6,40
2011,11,13,40
2011,11,20,42
2011,11,27,39
2011,12,4,35
2011,12,11,37
2011,12,18,39
2011,12,25,36
2012,1,1,39
2012,1,8,38
2012,1,15,40
2012,1,22,40
2012,1,29,42
2012,2,5,44
2012,2,12,42
2012,2,19,54
2012,2,26,56
2012,3,4,61
2012,3,11,75
2012,3,18,91
2012,3,25,82
2012,4,1,76
2012,4,8,75
2012,4,15,77
2012,4,22,70
2012,4,29,76
2012,5,6,77
2012,5,13,82
2012,5,20,85
2012,5,27,83
2012,6,3,83
2012,6,10,86
2012,6,17,87
2012,6,24,90
2012,7,1,85
2012,7,8,89
2012,7,15,83
2012,7,22,83
2012,7,29,79
2012,8,5,76
2012,8,12,80
2012,8,19,81
2012,8,26,75
2012,9,2,73
2012,9,9,70
2012,9,16,64
2012,9,23,58
2012,9,30,53
2012,10,7,48
2012,10,14,44
2012,10,21,44
2012,10,28,37
2012,11,4,39
2012,11,11,38
2012,11,18,40
2012,11,25,37
2012,12,2,34
2012,12,9,35
2012,12,16,33
2012,12,23,33
2012,12,30,33
2013,1,6,34
2013,1,13,36
2013,1,20,36
2013,1,27,37
2013,2,3,42
2013,2,10,40
2013,2,17,43
2013,2,24,43
2013,3,3,47
2013,3,10,49
2013,3,17,51
2013,3,24,51
2013,3,31,57
2013,4,7,60
2013,4,14,56
2013,4,21,62
2013,4,28,73
2013,5,5,73
2013,5,12,76
2013,5,19,74
2013,5,26,77
2013,6,2,81
2013,6,9,80
2013,6,16,81
2013,6,23,80
2013,6,30,78
2013,7,7,78
2013,7,14,80
2013,7,21,86
2013,7,28,79
2013,8,4,82
2013,8,11,77
2013,8,18,79
2013,8,25,80
2013,9,1,74
2013,9,8,67
2013,9,15,58
2013,9,22,56
2013,9,29,54
2013,10,6,56
2013,10,13,50
2013,10,20,44
2013,10,27,44
2013,11,3,41
2013,11,10,38
2013,11,17,38
2013,11,24,34
2013,12,1,35
2013,12,8,29
2013,12,15,36
2013,12,22,35
2013,12,29,33
2014,1,5,34
2014,1,12,38
2014,1,19,36
2014,1,26,36
2014,2,2,42
2014,2,9,40
2014,2,16,43
2014,2,23,42
2014,3,2,41
2014,3,9,55
2014,3,16,52
2014,3,23,53
2014,3,30,56
2014,4,6,64
2014,4,13,62
2014,4,20,70
2014,4,27,63
2014,5,4,72
2014,5,11,70
2014,5,18,77
2014,5,25,77
2014,6,1,79
2014,6,8,77
2014,6,15,77
2014,6,22,78
2014,6,29,79
2014,7,6,79
2014,7,13,80
2014,7,20,81
2014,7,27,80
2014,8,3,80
2014,8,10,76
2014,8,17,74
2014,8,24,72
2014,8,31,66
2014,9,7,60
2014,9,14,52
2014,9,21,54
2014,9,28,54
2014,10,5,47
2014,10,12,44
2014,10,19,43
2014,10,26,46
2014,11,2,40
2014,11,9,38
2014,11,16,34
2014,11,23,34
2014,11,30,34
2014,12,7,35
2014,12,14,38
2014,12,21,38
2014,12,28,35
2015,1,4,32
2015,1,11,33
2015,1,18,37
2015,1,25,35
2015,2,1,34
2015,2,8,37
2015,2,15,36
2015,2,22,38
2015,3,1,37
2015,3,8,53
2015,3,15,55
2015,3,22,52
2015,3,29,62
2015,4,5,59
2015,4,12,67
2015,4,19,60
2015,4,26,67
2015,5,3,70
2015,5,10,72
2015,5,17,73
2015,5,24,74
2015,5,31,75
2015,6,7,79
2015,6,14,73
2015,6,21,77
2015,6,28,78
2015,7,5,76
2015,7,12,77
2015,7,19,80
2015,7,26,78
2015,8,2,78
2015,8,9,75
2015,8,16,77
2015,8,23,76
2015,8,30,86
2015,9,6,82
2015,9,13,77
2015,9,20,73
2015,9,27,70
2015,10,4,68
2015,10,11,71
2015,10,18,66
2015,10,25,59
2015,11,1,58
2015,11,8,51
2015,11,15,48
2015,11,22,46
2015,11,29,41
2015,12,6,41
2015,12,13,40
2015,12,20,45
2015,12,27,42
